Sygnatura czasowa,Adres e-mail,1. Nazwa instytucji/organizacji:,2. Adres siedziby Państwa instytucji/organizacji:,3. Adres strony internetowej Państwa instytucji/organizacji: ,"4. Telefony, adresy e-mail do kontaktów z mieszkańcami:","5. Dni tygodnia i godziny, w których mieszkańcy mogą się kontaktować z Państwa instytucją/organizacją:","6. Inne, istotne informacje o dostępności Państwa instytucji/organizacji dla mieszkańców:",7. Główne cele działania Państwa instytucji/organizacji:,8. Główny obszar terytorialny działania Państwa instytucji/organizacji:,"9. Jeżeli Państwa instytucja/organizacja działa tylko w wybranych dzielnicach Miasta Krakowa, to w których?:",10. Forma prawna Państwa instytucji/organizacji:,"11. W jaki sposób w Państwa działalności definiowane jest ubóstwo ekonomiczne, czyli stały brak dochodów wystarczających na zaspokojenie podstawowych potrzeb osób i/lub ich rodzin?","12.  Jeżeli stosujecie Państwo kryterium dochodowe, to jaka kwota miesięcznych dochodów netto stanowi kryterium uzyskania pomocy?",13. Jaką mniej więcej część odbiorców Państwa działań stanowią osoby/rodziny w ubóstwie ekonomicznym?,14. Jakie są dominujące przyczyny niewystarczających dochodów odbiorców Państwa działań?,15. Na co najczęściej brakuje pieniędzy osobom żyjącym w ubóstwie ekonomicznym będącym odbiorcami Państwa działań?,16. Z jakiego rodzaju wsparcia Państwa instytucji/organizacji mogą skorzystać osoby/rodziny żyjące w ubóstwie ekonomicznym?,17. Jakiej części mieszkańców Krakowa dotyka ubóstwo?,"18. Czy są jakieś dzielnice w Krakowie, w których skala ubóstwa jest wyraźnie większa niż w innych dzielnicach?",19. W których dzielnicach i dlaczego poziom ubóstwa jest wyższy niż w innych?,20. Czy poziom ubóstwa wśród mieszkańców Krakowa jest wyraźnie większy w jakiś grupach społecznych?,"21. Czy znają Państwo osoby, które są w trudnej sytuacji ekonomicznej i nie korzystają z żadnej pomocy? ","22. Jeżeli znają Państwo takie osoby, to jaka jest najczęstsza przyczyna niekorzystania przez nie z pomocy?",23. Co pomogłoby osobom/rodzinom żyjącym w ubóstwie poprawić swoją sytuację ekonomiczną i/lub złagodzić jej negatywne skutki?,24. Od kogo przede wszystkim zależy poprawa sytuacji ekonomicznej osób/rodzin żyjących w ubóstwie?,"25. Czy znacie Państwo instytucje i/lub organizacje, które koncentrują się w Krakowie na pomocy ludziom żyjącym w ubóstwie ekonomicznym?"
2022-07-06 18:38:08,martamyrek@gmail.com,Stowarzyszenie na Rzecz Integracji,ul. Bujaka 15,ul. Bujaka 15 brak,663336660,od poniedziałku do piątku w godz. 13.30 - 18.30,,"wspieranie rodziny i systemu pieczy zastępczej, działalność na rzecz dzieci i młodzieży, w tym wypoczynek dzieci i młodzieży, turystyka i krajoznawstwo",Dzielnica/dzielnice miasta Krakowa,Dzielnica XI,Organizacja pozarządowa,Nie stosujemy żadnych kryteriów,nie dotyczy,Trudno powiedzieć,"Niezaradność życiowa, Uzależnienie (alkohol, narkotyki)",Kultura i rekreacja,Usługi opiekuńcze,Od 10% do 20%,Trudno powiedzieć,nie dotyczy,"Nie, poziom ubóstwa wydaje się podobny w każdej grupie społecznej",Trudno powiedzieć,Wstydzą się korzystać z pomocy,Pokierowanie ich do odpowiednich instytucji.,Samych osób dotkniętych ubóstwem,"Opieka Społeczna, Bank Żywności"
2022-07-06 20:38:17,wtztpdwandy18@gmail.com,Warsztat Terapii Zajęciowej przy Oddziale Miejskim Krakowskim Towarzystwa Przyjaciół Dzieci,os. Wandy 18 Kraków 31 - 906,wtzkrakow.pl,12 685 57 90 / 500 644 462,poniedziałek - piątek w godzinach 7.30 - 15.30,,działalność na rzecz osób niepełnosprawnych,Całe Miasto Kraków,Nie dotyczy,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,Nie dotyczy,Mniej niż 10%,"Niepełnosprawność, Niezaradność życiowa",Zdrowie,"Pomoc rzeczowa, Doradztwo psychologiczne, Pomoc w załatwianiu spraw urzędowych","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,Nie dotyczy,"Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Nie,Nie dotyczy,Spersonalizowana pomoc jednostek samorządowych i krajowych,Administracji rządowej,MOPS Kraków
2022-07-07 09:15:55,wtz.basztowa@ognisko.org,"Warsztat Terapii Zajęciowej prowadzony przez Chrześcijańskie Stowarzyszenie Osób Niepełnosprawnych, ich Rodzin i Przyjaciół ""Ognisko""","ul. Basztowa 3, 31-134 Kraków",https://wtzbasztowa3.pl/,124233236,pn-pt 8.00-16.00,,"działalność na rzecz integracji i reintegracji zawodowej i społecznej osób zagrożonych wykluczeniem społecznym, działalność na rzecz osób niepełnosprawnych, promocja zatrudnienia i aktywizacji zawodowej osób pozostających bez pracy i zagrożonych zwolnieniem z pracy",Całe Miasto Kraków,nie dotyczy,Jednostka prowadzona przez organizację pozaqrządową,Poprzez subiektywne odczucie odbiorców naszych działań,nie dotyczy,Mniej niż 10%,"Niepełnosprawność, Niezaradność życiowa",Trudno powiedzieć,"Doradztwo psychologiczne, Doradztwo zawodowe, Usługi opiekuńcze",Trudno powiedzieć,Trudno powiedzieć,brak wiedzy w tym obszarze,brak wiedzy w tym obszarze,Trudno powiedzieć,Trudno powiedzieć,"aktywność zawodowa, adekwatne wsparcie",Administracji rządowej,"MOPS, PCK, Zupa na Plantach,"
2022-07-07 09:59:18,oodp.krakowiakow@caritas.pl,SPECJALISTYCZNY OSRODEK WSPARCIA DLA OFIAR PRZEMOCY W RODZINIE,OS.KRAKOWIAKÓW 46 KRAKÓW,sowkrakowiakow.pl,"12 425 81 70, 606 618 014 oodp.krakowiakow@caritas.pl",CODZIENNIE 24 H,,"działalność na rzecz równych praw kobiet i mężczyzn, pomoc osobom doświadczającym przemocy w rodzinie",świat,nie dotyczy,Organizacja pozarządowa,Poprzez kryterium dochodowe,776zł,Co najmniej połowę,Niezaradność życiowa,"Użytkowanie mieszkania (czynsz, media, podatki)","Pomoc rzeczowa, Pomoc żywnościowa, Schronienie, Praca socjalna, Doradztwo prawne, Doradztwo psychologiczne, Doradztwo zawodowe, Pomoc w załatwianiu spraw urzędowych, Opieka zdrowotna",Trudno powiedzieć,Trudno powiedzieć,nie wiem,Trudno powiedzieć,Tak,Trudno powiedzieć,nie wiem,Samych osób dotkniętych ubóstwem,Mops
2022-07-07 11:27:23,bernarda.bednarczyk@gmail.com,"TKOPD PWD "" Gratka""",ul A. Lubomirskiego 21 31-509 Kraków,brak,bielany48@gmail.com,od poniedziałku do piątku 15 :00-19:00,,wspieranie rodziny i systemu pieczy zastępczej,Dzielnica/dzielnice miasta Krakowa,VII - Zwierzyniec,stowarzyszenie,Nie stosujemy żadnych kryteriów,Nie dotyczy,Mniej niż 10%,Choroba,Zdrowie,Pomoc rzeczowa,Od 10% do 20%,Trudno powiedzieć,Nie dotyczy,"Wśród rodzin wielodzietnych, Wśród osób bezdomnych",Trudno powiedzieć,Nie dotyczy,"Możliwość zatrudnienia, chęć do pracy jeżeli jest to możliwe",Samorządów terytorialnych,
2022-07-07 11:31:39,ilonasamuela@gmail.com,Fundacja Człowiekowi Człowiek,"ul. Majówny 62, 30-298 Kraków",www.czlowiekowi.pl,730002019,poniedziałek-piątek,7:00-15:00,"pomoc społeczna, wspieranie rodziny i systemu pieczy zastępczej, działalność charytatywna",Polska,nie dotyczy,Organizacja pozarządowa,mamy swój system kryterium,nie dotyczy,Co najmniej połowę,"Choroba, Niezaradność życiowa",Żywność,"Pomoc rzeczowa, Pomoc żywnościowa, Praca socjalna, Doradztwo prawne, Pomoc w załatwianiu spraw urzędowych, Wsparcie duchowe",Co najmniej połowy,Trudno powiedzieć,nie dotyczy,"Wśród osób z niepełnosprawnością, Wśród rodzin wielodzietnych, Wśród osób bezdomnych",Tak,Wstydzą się korzystać z pomocy,empatia ze strony udzielających pomocy,Samorządów terytorialnych,znam bardzo dużo
2022-07-07 21:21:11,dluga@siemachaspot.pl,Stowarzyszenie SIEMACHA,"Ul. Długa 42, Kraków 31- 146 ",https://www.siemacha.org.pl/pl/,662224106,"od poniedziałku do piątku, od 13:00 do 20:00 ",,"wspieranie rodziny i systemu pieczy zastępczej, udzielanie nieodpłatnej pomocy prawnej oraz zwiększania świadomości prawnej społeczeństwa;, działalność na rzecz dzieci i młodzieży, w tym wypoczynek dzieci i młodzieży",Całe Miasto Kraków,nie dotyczy,Jednostka organizacyjna Miasta Krakowa,Poprzez subiektywne odczucie odbiorców naszych działań,nie dotyczy,Co najmniej połowę,Trudno powiedzieć,Wyposażenie mieszkania i prowadzenie gospodarstwa domowego,"Pomoc żywnościowa, Doradztwo psychologiczne","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,nie dotyczy,"Wśród osób z wykształceniem podstawowym, Wśród rodzin wielodzietnych",Nie,nie dotyczy ,"Osoba, która będzie w stanie nakierować ich jak wykorzystać swoje wykształcenie i jak pogodzić pracę z wychowywaniem dzieci. ",Trudno powiedzieć,
2022-07-08 10:16:14,byc@dpskluzeka.pl,"Stowarzyszenie ,,Być,,","ul. Kluzeka 6 , 31-222 Kraków ",brak ,"124152592 , byc@dpskluzeka .pl",od poniedziałku do piatku w godzinach od 8.00 014.00-,nie dotyczy,"działalność charytatywna, działalność na rzecz osób niepełnosprawnych",Powiat Krakowski,Dzielnica Śródmieście ,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,NIE stosujemy kryterium dochodowego ,Co najmniej połowę,"Niepełnosprawność, Niezaradność życiowa",Zdrowie,"Pomoc rzeczowa, Pomoc żywnościowa",Trudno powiedzieć,Trudno powiedzieć,na terenie miasta i gminy Kraków ,"Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Nie,Wstydzą się korzystać z pomocy,więcej informacji w jaki sposób uzyskać pomoc i pokonanie wstydu  ,Samorządów terytorialnych,
2022-07-08 14:40:29,bz.krakow@bankizywnosci.pl,Bank Żywności w Krakowie ,"ul. Klimeckiego 14, Pawilon D, 30 - 705 Kraków",www.krakow.bankizywnosci.pl,+ 48 694 436 435. bz.krakow@bankizywnosci.pl,pon-pt 8.00-16.00,nie prowadzimy usług dla odbiorców indywidualnych ,"pomoc społeczna, działalność charytatywna, pomoc ofiarom katastrof, klęsk żywiołowych, konfliktów zbrojnych i wojen w kraju i za granicą",Małopolska,nie dotyczy ,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,nie dotyczy ,Co najmniej połowę,Trudno powiedzieć,Żywność,Pomoc żywnościowa,Od 10% do 20%,Tak,"Podgórze, Nową Huta","Nie, poziom ubóstwa wydaje się podobny w każdej grupie społecznej",Tak,Nie spełniają kryteriów dochodowych uzyskania pomocy,Program pomocy Miasta Kraków ,Administracji rządowej,
2022-07-08 14:59:25,sds.aleksandry@ognisko.org.pl,Środowiskowy Dom Samopomocy,"ul. Aleksandry 1, 30-837 Kraków",ognisko.org.pl,"12 658 54 94, sds.aleksandry@ognisko.org.pl","poniedziałek - piątek, 7:30 - 15:30",brak,"działalność na rzecz integracji i reintegracji zawodowej i społecznej osób zagrożonych wykluczeniem społecznym, działalność na rzecz osób niepełnosprawnych",Dzielnica/dzielnice miasta Krakowa,"Bieżanów, Prokocim",Organizacja pozarządowa,Trudno powiedzieć,nie dotyczy,Nie ma takich osób wśród odbiorców naszych działań,Niepełnosprawność,Zdrowie,"Doradztwo psychologiczne, Pomoc w załatwianiu spraw urzędowych, Usługi opiekuńcze",Trudno powiedzieć,Trudno powiedzieć,nie dotyczy,Trudno powiedzieć,Nie,nie dotyczy,trudno powiedzieć,Samorządów terytorialnych,"Fundacja Ojca Pio, PCK"
2022-07-08 21:02:28,dommacierz@gmail.com,Zgromadzenie Sióstr Albertynek,ul. Krakowska 47 31-066 Kraków,brak,510-111-129,poniedziałek do piątku w godzinach 8 do 14,"telewoniczne ,SMS",działalność na rzecz organizacji pozarządowych oraz innych podmiotów prowadzących działalność pożytku publicznego,Powiat Krakowski,nie dotyczy,Organizacja pozarządowa,Poprzez kryterium dochodowe,nie wystawiamy skierowań /tylko osobom bezdomnym,Mniej niż 10%,Niepełnosprawność,Żywność,"Pomoc żywnościowa, Wsparcie duchowe",Co najmniej połowy,Tak,nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością",Tak,Wstydzą się korzystać z pomocy,pomoc w  załatwianiu spraw w opiece społecznej,Trudno powiedzieć,
2022-07-09 17:08:04,dommacierz@gmail.com,Zgromadzenie Sióstr Albertynek Posługujących Ubogim,"ul. Krakowska 47, 31-066 Kraków",brak,510111129,"pn-pt, 8.00-12.00",,działalność charytatywna,Powiat Krakowski,Nie dotyczy,Organizacja pozarządowa,Trudno powiedzieć,Nie dotyczy,Trudno powiedzieć,"Niepełnosprawność, Niezaradność życiowa",Żywność,"Pomoc żywnościowa, Wsparcie duchowe","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,Nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Tak,Wstydzą się korzystać z pomocy,"wsparcie w formie np. bonów na konkretne artykuły (żywność, leki, środki czystościowe, dopłaty do mediów itp.)",Samych osób dotkniętych ubóstwem,Dzieło Pomocy Ojca Pio
2022-07-10 18:07:46,m.szemberg@siemacha.org.pl,SIEMACHA,"30-644 Kraków, ul. Kamieńskiego 11",www.siemacha.org.pl,603153616,Poniedziałek - piątek 13- 20 ( w lipcu i sierpniu  9-17) ,,"działalność na rzecz dzieci i młodzieży, w tym wypoczynek dzieci i młodzieży, przeciwdziałanie uzależnieniom i patologiom społecznym",Całe Miasto Kraków,Nie dotyczy,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,Nie dotyczy,Mniej niż 10%,"Niezaradność życiowa, Trudno powiedzieć",Odzież i obuwie,"Pomoc rzeczowa, Pomoc żywnościowa, Doradztwo psychologiczne, Usługi opiekuńcze",Trudno powiedzieć,Tak,Nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród rodzin wielodzietnych, Wśród osób bezdomnych",Tak,"Nie wiedzą, gdzie można uzyskać pomoc",Wsparcie merytoryczne w zakresie prawa i finansów. ,Samych osób dotkniętych ubóstwem,
2022-07-10 20:31:02,stowarzyszenieemaus@wp.pl,Warsztat Terapii Zajęciowej Stowarzyszenia EMAUS,"ul. Rondo Mogilskie 1, 31-516",www.emaus18.pl,stowarzyszenieemaus@wp.pl,7-15,,"działalność na rzecz integracji i reintegracji zawodowej i społecznej osób zagrożonych wykluczeniem społecznym, działalność na rzecz osób niepełnosprawnych",Całe Miasto Kraków,nie dotyczy,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,nie dotyczy,Od 10% do 20%,"Niepełnosprawność, Niezaradność życiowa",Żywność,"Praca socjalna, Doradztwo psychologiczne, Doradztwo zawodowe, Pomoc w załatwianiu spraw urzędowych",Od 10% do 20%,Nie,nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób z wykształceniem podstawowym, Wśród rodzin wielodzietnych, Wśród osób bezdomnych, Wśród uchodźców",Tak,"Nie wiedzą, gdzie można uzyskać pomoc",praca i motywacja do niej,Samych osób dotkniętych ubóstwem,
2022-07-11 13:21:00,krakow.biuro@pck.malopolska.pl,Małopolski Oddział Okręgowy Polskiego Czerwonego Krzyża,"ul. Studencka 19, 31-116 Kraków",www.pck.malopolska.pl,"12 422 91 15, krakow@pck.org.pl","pon-pt, 8-16",,"pomoc społeczna, działalność charytatywna, pomoc ofiarom katastrof, klęsk żywiołowych, konfliktów zbrojnych i wojen w kraju i za granicą",Małopolska,nie dotyczy,Organizacja pozarządowa,Indywidualna ocena każdego przypadku,nie dotyczy,"Więcej niż 20%, ale mniej niż połowę","Niepełnosprawność, Osiągnięcie wieku emerytalnego",Podstawowe potrzeby ,"Pomoc finansowa, Pomoc rzeczowa, Pomoc żywnościowa, Usługi opiekuńcze",Od 10% do 20%,Nasza działalność obejmuje pomocą osoby z całego terenu małopolski,nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Tak,Wstydzą się korzystać z pomocy,"Prawo do stosownego dochodu minimalnego i ochrony socjalnej, zapewnienie dostępu do wysokiej jakości usług (opieka społeczna, opieka zdrowotna, edukacja, mieszkanie, energia, woda, itp.), zapewnienie dobrych miejsc pracy oraz eliminację zjawiska niedostatku żywności i braku bezpieczeństwa żywnościowego.",Samorządów terytorialnych,
2022-07-11 15:56:38,kasiarys@interia.pl,Specjalny Ośrodek Szkolno-Wychowawczy nr1 w Krakowie,ul.Barska45  30-307Kraków,http://www.soswnr1krakow.pl/,698-780-666,"Pomagamy naszym wychowanką i ich rodziną  w godzinach funkcjonowania Internatu przy ul.Szwedzka42, oraz młodzieży w naszej szkole.",,"działalność na rzecz osób niepełnosprawnych, nauka, szkolnictwo wyższe, edukacja, oświata i wychowanie, działalność na rzecz dzieci i młodzieży, w tym wypoczynek dzieci i młodzieży",Małopolska,nie dotyczy,Jednostka organizacyjna Miasta Krakowa,Trudno powiedzieć,nie dotyczy,Trudno powiedzieć,"Niepełnosprawność, Niezaradność życiowa",Trudno powiedzieć,"Pomoc żywnościowa, Usługi opiekuńcze",Trudno powiedzieć,Trudno powiedzieć,nie dotyczy,Wśród osób z niepełnosprawnością,Tak,Nie spełniają kryteriów dochodowych uzyskania pomocy,trudno powiedzieć,Samych osób dotkniętych ubóstwem,
2022-07-12 13:09:13,j.krzyzaniak@dpsnowaczynskiego.pl,DOM POMOCY SPOŁECZNEJ IM. ŚW.BRATA ALBERTA,"30-336 KRAKÓW, UL. NOWACZYŃSKIEGO 1",dps@dpsnowaczynskiego.pl,w miejscu,całodobowo,,pomoc społeczna,Całe Miasto Kraków,nie dotyczy,Jednostka organizacyjna Miasta Krakowa,Nie stosujemy żadnych kryteriów,nie dotyczy,Trudno powiedzieć,"Niepełnosprawność, Niezaradność życiowa",Zdrowie,"Pomoc finansowa, Pomoc rzeczowa, Pomoc żywnościowa, Schronienie, Praca socjalna, Doradztwo prawne, Doradztwo psychologiczne, Pomoc w załatwianiu spraw urzędowych, Opieka zdrowotna, Usługi opiekuńcze, Wsparcie duchowe",Trudno powiedzieć,Trudno powiedzieć,nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Nie,nie dotyczy,nie wiem,Samorządów terytorialnych,"dps, mops, Caritas, Bank żywności, pck"
2022-07-12 14:45:38,m.hornowska@siemacha.org.pl,SIEMACHA Spot Facimiech,"ul.Długa, 42 Kraków, 31-146",www.siemacha.org.pl,882011175,poniedziałek-piątek g.10-18,specjalistyczna placówka wspardzia dziennego,wspieranie rodziny i systemu pieczy zastępczej,Całe Miasto Kraków,Kozłówek,Jednostka organizacyjna Miasta Krakowa,Nie stosujemy żadnych kryteriów,brak,brak,brak,niskie dochody,"Pomoc rzeczowa, Pomoc żywnościowa, Doradztwo psychologiczne, Doradztwo zawodowe",Od 10% do 20%,Trudno powiedzieć,nie dotyczy,Trudno powiedzieć,Nie,Trudno powiedzieć,poznanie oferty Krakowa,Trudno powiedzieć,
2022-07-14 23:35:39,dom_gwan@wp.pl,Stowarzyszenie Monar Ośrodek Leczenia Terapii i Rehabilitacji Osób Uzaleznionych z Nawrotami Choroby w Krakowie,ul. Nadbrzezie 25 31-983 Kraków,www.gwan.nazwa.pl,12 681 00 66 dom_gwan@wp.pl,całodobowo,,"ochrona i promocja zdrowia, przeciwdziałanie uzależnieniom i patologiom społecznym",Polska,nie dotyczy,Organizacja pozarządowa,weryfikujemy sytuację materialno- bytową poprzez dochód i zobowiązania ,nie dotyczy,Co najmniej połowę,"Niepełnosprawność, Uzależnienie (alkohol, narkotyki)",Zdrowie,"Pomoc rzeczowa, Pomoc żywnościowa, Doradztwo psychologiczne, Doradztwo zawodowe, Pomoc w załatwianiu spraw urzędowych","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,nie dotyczy,"Wśród osób z niepełnosprawnością, Wśród osób z wykształceniem podstawowym, Wśród rodzin wielodzietnych, Wśród osób bezdomnych",Tak,Nie spełniają kryteriów dochodowych uzyskania pomocy,nie wiem,Administracji rządowej,Bank Żywności
2022-07-21 13:21:39,janusz.wrobel321@gmail.com,"Stowarzyszenie Dobroczynne ""Betlejem""","ul. Odrzańska 10/41, 30-408 Kraków",www.dom-lazarza.pl,123571616,od 8 do 18,,"pomoc społeczna, działalność charytatywna",Całe Miasto Kraków,nie dotyczy,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,nie dotyczy,"Więcej niż 20%, ale mniej niż połowę","Osiągnięcie wieku emerytalnego, Uzależnienie (alkohol, narkotyki)",Żywność,"Pomoc rzeczowa, Pomoc żywnościowa, Schronienie, Pomoc w załatwianiu spraw urzędowych, Wsparcie duchowe","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,nie dotyczy,"Wśród osób po 60 roku życia, Wśród rodzin wielodzietnych",Tak,Wstydzą się korzystać z pomocy,nie wiem,Rodziny,
